wavenumber_cm,absorption,cd
17682.3863,1.58268257e-03,-9.03390257e+01
17682.8365,1.58471699e-03,-9.05023012e+01
17683.2866,1.58675538e-03,-9.06659709e+01
17683.7367,1.58879772e-03,-9.08300361e+01
17684.1868,1.59084405e-03,-9.09944979e+01
17684.6369,1.59289435e-03,-9.11593576e+01
17685.0870,1.59494866e-03,-9.13246163e+01
17685.5371,1.59700697e-03,-9.14902752e+01
17685.9872,1.59906930e-03,-9.16563356e+01
17686.4374,1.60113566e-03,-9.18227987e+01
17686.8875,1.60320606e-03,-9.19896657e+01
17687.3376,1.60528051e-03,-9.21569378e+01
17687.7877,1.60735901e-03,-9.23246162e+01
17688.2378,1.60944159e-03,-9.24927023e+01
17688.6879,1.61152825e-03,-9.26611972e+01
17689.1380,1.61361900e-03,-9.28301021e+01
17689.5881,1.61571385e-03,-9.29994184e+01
17690.0383,1.61781282e-03,-9.31691473e+01
17690.4884,1.61991591e-03,-9.33392900e+01
17690.9385,1.62202314e-03,-9.35098478e+01
17691.3886,1.62413451e-03,-9.36808220e+01
17691.8387,1.62625004e-03,-9.38522139e+01
17692.2888,1.62836973e-03,-9.40240246e+01
17692.7389,1.63049361e-03,-9.41962556e+01
17693.1890,1.63262168e-03,-9.43689081e+01
17693.6392,1.63475394e-03,-9.45419833e+01
17694.0893,1.63689042e-03,-9.47154826e+01
17694.5394,1.63903113e-03,-9.48894073e+01
17694.9895,1.64117606e-03,-9.50637587e+01
17695.4396,1.64332525e-03,-9.52385381e+01
17695.8897,1.64547869e-03,-9.54137468e+01
17696.3398,1.64763640e-03,-9.55893861e+01
17696.7899,1.64979839e-03,-9.57654573e+01
17697.2401,1.65196467e-03,-9.59419619e+01
17697.6902,1.65413525e-03,-9.61189011e+01
17698.1403,1.65631015e-03,-9.62962762e+01
17698.5904,1.65848937e-03,-9.64740886e+01
17699.0405,1.66067293e-03,-9.66523397e+01
17699.4906,1.66286084e-03,-9.68310308e+01
17699.9407,1.66505311e-03,-9.70101633e+01
17700.3908,1.66724975e-03,-9.71897385e+01
17700.8410,1.66945077e-03,-9.73697578e+01
17701.2911,1.67165619e-03,-9.75502226e+01
17701.7412,1.67386602e-03,-9.77311342e+01
17702.1913,1.67608026e-03,-9.79124941e+01
17702.6414,1.67829894e-03,-9.80943036e+01
17703.0915,1.68052206e-03,-9.82765641e+01
17703.5416,1.68274963e-03,-9.84592771e+01
17703.9917,1.68498167e-03,-9.86424439e+01
17704.4419,1.68721819e-03,-9.88260659e+01
