time_ps,phase,k_pull,r0_pull_ang,alpha_deg,cos_alpha,linker_e2e_ang,cr2_sep_ang,triple_product_ang,potential_kj_mol,temperature_k
50490.0,control,0.0,0.0,106.07093856617679,-0.27682729345280443,52.91839497493453,26.37334978471857,-5.100050260248732,-1174560.0622568447,303.0971900083853
50500.0,control,0.0,0.0,106.07026019837812,-0.27681591638294567,52.97936918171975,26.83325592047207,-6.120960498745685,-1174914.6790108476,299.9044674488965
50510.0,control,0.0,0.0,107.88033464654333,-0.30702998855476993,53.28977818325255,26.579707015893483,-4.096231647555022,-1174820.8065865077,298.1874642873341
50520.0,control,0.0,0.0,104.98999685601324,-0.2586504022956996,53.690083349441416,26.898435055616112,-5.163682781960719,-1173090.7773657572,301.04348253941083
50530.0,control,0.0,0.0,111.36881007266122,-0.3643698943077402,52.647794588654314,26.412319437670988,-4.274977970601376,-1174948.7204598263,299.5660480970917
50540.0,control,0.0,0.0,110.34378477618115,-0.3476522741453609,52.95544693668926,26.74978760536659,-5.629415098391919,-1176192.490985483,300.67739240089486
50550.0,control,0.0,0.0,109.59815141486366,-0.33542117513091485,53.51220985721963,26.358377125664774,-3.62022188410414,-1172751.061059421,301.9423992472924
50560.0,control,0.0,0.0,110.79630574050903,-0.35504668692281,52.727455888894454,26.427887282726186,-3.963381281252198,-1174217.3388620056,299.7616937918749
50570.0,control,0.0,0.0,109.14548726293407,-0.3279679930899885,52.27343778884658,26.032901705481567,-3.5430337235123788,-1174966.561072616,300.2884658719106
50580.0,control,0.0,0.0,104.18114190035564,-0.2449882933011312,53.10483019055919,26.865557885559394,-4.1429487944763554,-1174514.5101219043,299.1726023050531
50590.0,control,0.0,0.0,107.67844467906777,-0.3036746373833997,52.64055965989429,26.90472856043922,-5.699819962494975,-1173816.0039343033,298.4556412627578
50600.0,control,0.0,0.0,109.9233320823278,-0.3407624276700334,52.92745853797564,26.432285070155853,-4.750853295649819,-1175612.7294199448,300.087817105749
