wavenumber_cm-1,wavelength_nm,published_fit_reconstruction_normalized,resonant_corrected_J,100_cm-1_detuning,constrained_fit_gap,unconstrained_fit_gap,corrected_charge_smoke_diagnostic
19962.5,500.93926111458984,-0.32106524251337437,-0.201191501052514,-0.24567527958196383,-0.3108602800071332,-0.3498156790776462,-0.46878742378775184
19965.0,500.8765339343852,-0.3198288693138945,-0.20048595394598936,-0.2445609758651218,-0.30912290551416255,-0.34777438138511435,-0.47161135537736315
19967.5,500.8138224614999,-0.3186008767018513,-0.19977933366683115,-0.24344965818939415,-0.30739425567890605,-0.3457433800822747,-0.4744426391367255
19970.0,500.75112669003505,-0.31738130729762076,-0.19907175648471756,-0.2423414026541562,-0.30567436301870776,-0.34372272342145016,-0.47728105124915116
19972.5,500.6884466140944,-0.3161702011852629,-0.19836333559069116,-0.24123628259080745,-0.30396325731250085,-0.3417124561222244,-0.48012636097592715
19975.0,500.6257822277847,-0.3149675959828596,-0.19765418116490066,-0.24013436863145607,-0.30226096567860666,-0.3397126194658952,-0.48297833057045586
19977.5,500.56313352521585,-0.3137735269113032,-0.19694440044301892,-0.23903572877614385,-0.3005675126508477,-0.3377232513881669,-0.4858367151941776
19980.0,500.5005005005005,-0.3125880268615649,-0.19623409778136078,-0.23794042845863303,-0.29888292025300095,-0.3357443865700852,-0.48870126283442644
19982.5,500.4378831477543,-0.3114111264604606,-0.19552337472071546,-0.23684853061077915,-0.297207208071617,-0.33377605652723846,-0.4915717142243691
19985.0,500.3752814610958,-0.31024285413493885,-0.1948123300489189,-0.23576009572552,-0.295540393327228,-0.33181828969723104,-0.4944478027651777
19987.5,500.3126954346466,-0.30908323617491507,-0.19410105986218376,-0.23467518191849915,-0.2938824909439768,-0.32987111152544996,-0.4973292544505979
19990.0,500.25012506253125,-0.3079322967946719,-0.19338965762520574,-0.23359384498835162,-0.2922335136176837,-0.32793454454914067,-0.5002157877940747
19992.5,500.1875703388771,-0.30679005819285143,-0.19267821423006973,-0.23251613847567656,-0.2905934718823845,-0.32600860847980623,-0.5031071137586001
19995.0,500.12503125781444,-0.3056565406110606,-0.19196681805397017,-0.23144211372071916,-0.28896237417536197,-0.3240933202839489,-0.506002935689451
19997.5,500.06250781347666,-0.3045317623911111,-0.19125555501577335,-0.23037181991978456,-0.2873402269006941,-0.3221886942621726,-0.5089029492499934
20000.0,500.0,-0.30341574003092026,-0.19054450863143024,-0.2293053041804113,-0.2857270344913494,-0.320294742126663,-0.5118068423607298
20002.5,499.9375078115236,-0.30230848823909,-0.18983376006827135,-0.22824261157532263,-0.2841227994698511,-0.3184114730770657,-0.5147142951417633
20005.0,499.87503124218944,-0.30121001998819164,-0.1891233881981917,-0.22718378519518329,-0.28252752250753427,-0.31653889387478146,-0.5176249798588699
20007.5,499.8125702861427,-0.3001203465667737,-0.18841346964975306,-0.22612886620017875,-0.28094120248242654,-0.31467700891569556,-0.5205385608733589
20010.0,499.7501249375312,-0.2990394776301187,-0.1877040788592168,-0.225077893870445,-0.27936383653576874,-0.3128258203013661,-0.5234546945959145
20012.5,499.6876951905059,-0.297967421249768,-0.18699528812053168,-0.2240309056553675,-0.27779542012720876,-0.3109853279086869,-0.5263730294446048
20015.0,499.62528103922057,-0.2969041839618382,-0.1862871676342866,-0.2229879372217725,-0.27623594708868593,-0.309155529458048,-0.5292932058072585
20017.5,499.5628824778319,-0.2958497708141492,-0.18557978555565735,-0.22194902250103177,-0.27468540967703386,-0.30733642058001287,-0.5322148560084011
20020.0,499.5004995004995,-0.29480418541218634,-0.18487320804135574,-0.22091419373509993,-0.27314379862532745,-0.3055279948805349,-0.5351376042809515
20022.5,499.4381321013859,-0.29376742996391697,-0.1841674992956055,-0.2198834815215119,-0.2716111031929906,-0.3037302440047329,-0.5380610667428771
20025.0,499.3757802746567,-0.29273950532348164,-0.18346272161515786,-0.21885691485735123,-0.27008731121469787,-0.3019431576992471,-0.5409848513790084
20027.5,499.31344401448007,-0.29172041103378266,-0.18275893543337035,-0.21783452118221985,-0.2685724091480842,-0.30016672387319787,-0.543908558028222
20030.0,499.2511233150275,-0.29071014536798834,-0.18205619936335748,-0.21681632642022,-0.26706638212029354,-0.2984009286577657,-0.5468317783761851
20032.5,499.188818170473,-0.2897087053699738,-0.18135457024023988,-0.21580235502097703,-0.2655692139733831,-0.296645756464418,-0.5497540959538767
20035.0,499.12652857499376,-0.28871608689371864,-0.1806541031625012,-0.21479262999971313,-0.2640808873086092,-0.2949011900418014,-0.552675086142083
20037.5,499.06425452276983,-0.28773228464168005,-0.17995485153247387,-0.21378717297640093,-0.262601383529616,-0.2931672105313201,-0.5555943161820732
20040.0,499.001996007984,-0.2867572922021627,-0.17925686709596675,-0.21278600421400695,-0.26113068288454955,-0.2914437975214256,-0.5585113451926618
20042.5,498.93975302482227,-0.2857911020857023,-0.17856019998105518,-0.21178914265585028,-0.25966876450711684,-0.28973092910063525,-0.5614257241938584
20045.0,498.8775255674732,-0.2848337057604836,-0.1778648987360445,-0.2107966059620887,-0.2582156064566146,-0.2880285819093027,-0.5643369961373074
20047.5,498.81531363012846,-0.2838850936868097,-0.1771710103666257,-0.20980841054535732,-0.2567711857569468,-0.28633673119016245,-0.567244695943718
20050.0,498.75311720698255,-0.28294525535064324,-0.17647858037223946,-0.2088245716055703,-0.2553354784346517,-0.28465535083766785,-0.5701483505474841
20052.5,498.6909362922329,-0.28201417929623585,-0.17578765278165967,-0.2078451031639077,-0.25390845955595853,-0.28298441344614567,-0.5730474789486875
20055.0,498.6287708800798,-0.281091853157863,-0.1750982701878175,-0.20687001809600206,-0.2524901032628979,-0.2813238903567851,-0.5759415922726756
20057.5,498.56662096472644,-0.28017826369068627,-0.17441047378187452,-0.2058993281643434,-0.2510803828084801,-0.2796737517034874,-0.5788301938374112
20060.0,498.5044865403789,-0.2792733968007524,-0.17372430338656486,-0.20493304404991788,-0.24967927059096526,-0.27803396645759143,-0.5817127792287651
20062.5,498.44236760124613,-0.27837723757415583,-0.17303979748881737,-0.20397117538309642,-0.24828673818724212,-0.27640450247149856,-0.5845888363839468
20065.0,498.38026414154,-0.27748977030537286,-0.17235699327167156,-0.20301373077378923,-0.24690275638533762,-0.274785326521218,-0.5874578456832369
20067.5,498.31817615547527,-0.27661097852478866,-0.17167592664550635,-0.20206071784088284,-0.24552729521607233,-0.2731764043478507,-0.5903192800502001
20070.0,498.2561036372696,-0.2757408450254332,-0.17099663227858836,-0.20111214324097376,-0.24416032398388285,-0.27157770069803433,-0.5931726050605326
20072.5,498.19404658114337,-0.2748793518889396,-0.17031914362695613,-0.20016801269641396,-0.24280181129682782,-0.2699891793633668,-0.5960172790597126
20075.0,498.13200498132005,-0.27402648051074247,-0.16964349296365747,-0.1992283310226846,-0.24145172509579813,-0.26841080321883065,-0.5988527532895902
20077.5,498.0699788320259,-0.273182211624532,-0.16896971140734526,-0.19829310215510978,-0.2401100326829436,-0.266842534260235,-0.6016784720240701
20080.0,498.00796812749,-0.2723465253259764,-0.16829782895025047,-0.19736232917492708,-0.23877670074933943,-0.2652843336406991,-0.6044938727140111
20082.5,497.9459728619445,-0.27151940109573086,-0.16762787448554367,-0.19643601433472818,-0.2374516954019053,-0.2637361617061897,-0.607298386141472
20085.0,497.8839930296241,-0.2707008178217451,-0.16695987583409422,-0.1955141590832825,-0.23613498218959572,-0.2621979780301383,-0.6100914365834135
20087.5,497.82202862476663,-0.2698907538208849,-0.16629385977064576,-0.19459676408975704,-0.2348265261288776,-0.2606697414471517,-0.6128724419849644
20090.0,497.7600796416127,-0.269089186859881,-0.16562985204941255,-0.19368382926734914,-0.23352629172851033,-0.2591514100858379,-0.61564081414234
20092.5,497.6981460744059,-0.2682960941756203,-0.16496787742911342,-0.19277535379633992,-0.23223424301364515,-0.25764294140076316,-0.6183959588954991
20095.0,497.6362279173924,-0.2675114524947918,-0.16430795969745401,-0.1918713361465851,-0.2309503435492605,-0.2561442922035589,-0.6211372763306025
20097.5,497.5743251648215,-0.2667352380529007,-0.16365012169506624,-0.190971774099454,-0.22967455646294413,-0.25465541869319724,-0.6238641609923342
20100.0,497.5124378109453,-0.265967426612665,-0.16299438533892016,-0.19007666476922833,-0.22840684446704326,-0.2531762764854523,-0.6265760021061256
20102.5,497.4505658500187,-0.26520799348180385,-0.16234077164521377,-0.18918600462397628,-0.22714716988019237,-0.2517068206415628,-0.6292721838103137
20105.0,497.38870927629944,-0.2644569135302354,-0.16168930075175797,-0.18829978950590792,-0.2258954946482348,-0.25024700569611524,-0.6319520853982407
20107.5,497.3268680840482,-0.2637141612066919,-0.16103999193986215,-0.187418014651229,-0.22465178036455338,-0.2487967856841636,-0.6346150815703054
20110.0,497.2650422675286,-0.2629797105547659,-0.1603928636557315,-0.18654067470950048,-0.22341598828982218,-0.2473561141676021,-0.6372605426959397
20112.5,497.20323182100685,-0.2622535352283995,-0.15974793353138855,-0.185667763762518,-0.22218807937119367,-0.245924944260807,-0.6398878350854786
20115.0,497.1414367387522,-0.26153560850682755,-0.15910521840512704,-0.18479927534271903,-0.22096801426093587,-0.24450322865556393,-0.6424963212718823
20117.5,497.0796570150367,-0.2608259033089866,-0.1584647343415088,-0.18393520245113054,-0.21975575333452946,-0.24309091964529628,-0.6450853603022306
20120.0,497.0178926441352,-0.26012439220740047,-0.15782649665091125,-0.18307553757486786,-0.21855125670824097,-0.24168796914861104,-0.6476543080389161
20122.5,496.9561436203255,-0.2594310474415528,-0.1571905199086372,-0.18222027270419225,-0.217354484256183,-0.2402943287321751,-0.6502025174704258
20125.0,496.8944099378882,-0.2587458409307585,-0.15655681797359736,-0.18136939934914045,-0.2161653956268738,-0.23890994963293974,-0.6527293390315938
20127.5,496.8326915911067,-0.2580687442865426,-0.15592540400656774,-0.18052290855573336,-0.21498395025930842,-0.2375347827797266,-0.6552341209331822
20130.0,496.7709885742673,-0.257399728824539,-0.1552962904880418,-0.17968079092177563,-0.21381010739855344,-0.23616877881418916,-0.6577162095006313
20132.5,496.70930088165903,-0.25673876557591624,-0.154669489235675,-0.17884303661225373,-0.2126438261108762,-0.2348118881111671,-0.6601749495218001
20135.0,496.64762850757387,-0.25608582529834306,-0.15404501142133809,-0.1780096353743428,-0.21148506529842173,-0.23346406079844154,-0.6626096846034968
20137.5,496.58597144630664,-0.25544087848650066,-0.15342286758778373,-0.1771805765520305,-0.21033378371344502,-0.2321252467759121,-0.665019757536579
20140.0,496.52432969215494,-0.2548038953821533,-0.1528030676649354,-0.17635584910036808,-0.20918993997211338,-0.23079539573420407,-0.667404510669386
20142.5,496.4627032394191,-0.25417484598378387,-0.15218562098580743,-0.17553544159935464,-0.20805349256788672,-0.22947445717272041,-0.6697632862892408
20145.0,496.40109208240256,-0.2535537000558059,-0.15157053630206344,-0.17471934226746655,-0.20692439988448708,-0.22816238041715367,-0.6720954270117427
20147.5,496.3394962154113,-0.2529404271373589,-0.15095782179922018,-0.17390753897483702,-0.20580262020846896,-0.2268591146364669,-0.6744002761775463
20150.0,496.27791563275434,-0.2523349965506967,-0.1503474851115064,-0.1731000192560962,-0.2046881117413969,-0.22556460885935975,-0.6766771782563085
20152.5,496.2163503287433,-0.251737377409176,-0.14973953333638212,-0.17229677032287827,-0.20358083261164495,-0.2242788119902295,-0.6789254792574568
20155.0,496.1548002976929,-0.2511475386248549,-0.14913397304872605,-0.1714977790760046,-0.202480740885822,-0.22300167282464026,-0.6811445271474221
20157.5,496.0932655339204,-0.2505654489157081,-0.14853081031469909,-0.17070303211734822,-0.20138779457983766,-0.22173314006431188,-0.6833336722729446
