assumed_J_cm-1,required_detuning_cm-1,mixing,minor_site_weight
89.85572519083969,190.0733832016287,0.6870229007633588,0.13668211789580875
90.85412213740457,188.16538035081342,0.6946564885496183,0.14032919116367187
91.85251908396945,186.21642073597081,0.7022900763358778,0.1440545516936103
92.85091603053435,184.22520448940375,0.7099236641221375,0.14786068413218945
93.84931297709923,182.1903461078712,0.7175572519083969,0.1517502368149874
94.84770992366411,180.11036641166956,0.7251908396946565,0.1557260371364983
95.846106870229,177.98368349734355,0.7328244274809159,0.15979110884367387
96.84450381679389,175.80860252534848,0.7404580152671756,0.16394869155641012
97.84290076335877,173.58330415349891,0.7480916030534351,0.16820226287655998
98.84129770992365,171.30583138957343,0.7557251908396946,0.1725555635186684
99.83969465648855,168.97407459014687,0.7633587786259542,0.1770126259841217
100.83809160305343,166.58575427513847,0.7709923664122137,0.18157780741047008
101.83648854961831,164.13840135548364,0.7786259541984732,0.18625582736546442
102.8348854961832,161.62933428046887,0.7862595419847329,0.19105181152903727
103.83328244274809,159.05563249585975,0.7938931297709924,0.19597134242705905
104.83167938931297,156.41410545620616,0.8015267175572519,0.20102051866311238
105.83007633587785,153.70125624395223,0.8091603053435114,0.20620602445914782
106.82847328244274,150.9132385994339,0.816793893129771,0.2115352117909743
107.82687022900762,148.04580583882472,0.8244274809160305,0.21701619802961858
108.8252671755725,145.09424970225746,0.83206106870229,0.2226579828307641
109.8236641221374,142.05332658953043,0.8396946564885497,0.22847058913232965
110.82206106870228,138.91716784450827,0.8473282442748091,0.2344652346423498
111.82045801526716,135.6791696504054,0.8549618320610687,0.24065454229985972
112.81885496183206,132.3318565591989,0.8625954198473282,0.24705280113311617
113.81725190839694,128.86671048832608,0.8702290076335878,0.25367629312576256
114.81564885496182,125.27395384538804,0.8778625954198473,0.2605437077655248
115.8140458015267,121.54227075518826,0.8854961832061068,0.26767667490788993
116.8124427480916,117.65844328774405,0.8931297709923665,0.27510046011211864
117.81083969465648,113.60686863812333,0.9007633587786259,0.28284488753321485
118.80923664122136,109.36890579557358,0.9083969465648855,0.2909455887384862
119.80763358778626,104.92197165693655,0.9160305343511451,0.29944573045160844
120.80603053435114,100.23825789654208,0.9236641221374046,0.3083984672059369
121.80442748091602,95.28285356865146,0.9312977099236641,0.3178705299169442
122.80282442748091,90.0108973987771,0.9389312977099237,0.3279476691666467
123.8012213740458,84.36306505324485,0.9465648854961832,0.3387432811123847
124.79961832061068,78.25801855477548,0.9541984732824427,0.3504128401353783
125.79801526717556,71.57886433408858,0.9618320610687022,0.3631797837485883
126.79641221374045,64.14651821332811,0.9694656488549619,0.3773864243953512
127.79480916030533,55.660070128634864,0.9770992366412213,0.39360793996361554
128.79320610687023,45.53390651869187,0.984732824427481,0.41296370800769966
129.7916030534351,32.25919260115089,0.9923664122137403,0.43833780755189444
130.79,0.0,1.0,0.5
